bb.ps.adc.timeoffset = 
   -43.60876    -43.70292 
   -44.30146    -43.63075 
   -45.69809    -44.42162 
   -43.13564    -43.86253 
   -43.79701    -41.77187 
   -43.46964    -44.87151 
   -44.54904    -44.52774 
   -42.94442    -43.64574 
   -42.41198    -42.70797 
   -39.98965    -43.06077 
   -41.26794    -44.53303 
   -39.29708    -43.10471 
   -42.10421    -44.18801 
   -43.64047    -43.36482 
    -39.4217    -44.80978 
   -43.72187    -45.57876 
   -42.44382    -42.02491 
   -42.39737    -40.81307 
   -41.47938    -44.07763 
   -42.04219    -44.10965 
   -43.83085    -44.66051 
   -41.67702      -44.676 
   -41.33691    -43.03735 
    -44.5198    -41.03611 
   -45.04373    -43.87317 
    -43.1809    -47.18147 
