       0.141162        0.144819        0.148633        0.149545         0.13724        0.129574        0.138628        0.139732        0.147165 
       0.144138        0.136198        0.139994        0.136891        0.135611        0.144356        0.142585        0.144009        0.140186 
       0.143142        0.141486        0.142119        0.141972        0.145849        0.148946         0.14482        0.146183        0.148285 
       0.150239        0.152102         0.14769        0.143492        0.145279        0.138233        0.132934        0.138659        0.134627 
       0.137761        0.137614        0.141425        0.142057        0.142593        0.146174        0.147031         0.14257        0.145098 
        0.14418        0.138013        0.137226        0.136616        0.136551        0.133482        0.138722        0.138782         0.13809 
       0.141434        0.139215        0.139133        0.142162        0.141155         0.13862        0.136695         0.14447        0.139429 
       0.137987        0.142445        0.140528        0.139027        0.139652        0.141638        0.139374        0.138433        0.134407 
       0.140351        0.140822        0.141771        0.140585        0.130152        0.132192        0.129986        0.130234        0.136104 
        0.13154        0.133646        0.143009        0.151253        0.140911        0.140911        0.140911        0.140911        0.140911 
