       0.282394        0.239209        0.248472        0.267923        0.233192        0.247749        0.247587        0.246285        0.243318 
       0.240094        0.230598        0.251703        0.266706        0.260601         0.25612        0.252687         0.25415        0.253271 
       0.235714        0.272275        0.263662        0.256547        0.259574        0.251332        0.276276         0.26196        0.263014 
       0.264796         0.26724        0.280768        0.264168        0.266449        0.260184        0.271909        0.262656        0.305612 
       0.280152        0.287069        0.269043        0.326325        0.263824        0.283164        0.318028        0.280205        0.263826 
       0.297925        0.285034        0.275589         0.28158        0.273954        0.305438        0.300707        0.281904         0.29021 
       0.283825        0.286369        0.283289        0.288576        0.277256        0.288924        0.317503        0.286416        0.260251 
       0.273491        0.265968        0.236485        0.265801        0.282408        0.266764        0.259017        0.263771        0.273217 
       0.253594        0.265718        0.241152        0.248226        0.273002        0.251776        0.223889        0.203379        0.267141 
       0.216168        0.228689        0.277909        0.277909        0.277909        0.277909        0.277909        0.277909        0.277909 
